"","ModuleName","Median_ModCor","Mean_ModCor","Num_Cor","Assigned_Mod_mean","RelMean","RelMed","NumGenes","TO_Sum_Mean","TO_Sum_SE","Module","TO_Median_Mean","TO_Median_SE"
"37","lavenderblush3",0.011220828265403,0.056303259050841,64,0.672687708975427,0.0836989561420658,0.0166805905856277,113,173.231153685456,3.4140280332897,"MElavenderblush3",0.00215811818616769,2.48594028381511e-05
"38","lightcoral",0.012314668550801,0.0462271359531098,64,0.497749209372264,0.0928723443105196,0.0247407094153532,87,153.494554350203,4.64048269784807,"MElightcoral",0.00164785380092991,3.41412988081596e-05
"39","lightcyan",0.00561306983461887,0.0359683333476804,64,0.649202221180463,0.0554038975440936,0.0086461038663923,309,168.503522485249,2.2038452236035,"MElightcyan",0.00196571863891408,1.36639996948658e-05
"40","lightcyan1",0.00513513921189511,0.0559212140370846,60,0.735749237962156,0.0760058062608024,0.00697946929054004,158,219.010989028405,3.75503412857369,"MElightcyan1",0.0021244327751855,2.26145986585298e-05
"41","lightgreen",0.00958410082301494,0.04326568916714,72,0.627011208442886,0.0690030554231808,0.0152853739996387,297,187.374942113311,2.86492605714668,"MElightgreen",0.00207400914567148,2.36098197827146e-05
"42","lightpink3",0.00484597961984028,0.0393512673152604,57,0.663642655234436,0.0592958680471786,0.0073020918435817,59,137.27192948483,3.30118602563448,"MElightpink3",0.00191139790963086,4.04526402692217e-05
"43","lightpink4",0.0100675321101203,0.0573658341387623,67,0.715135653513786,0.0802167167262573,0.0140777935775597,116,233.65683855625,4.37707699051014,"MElightpink4",0.00269703560468462,4.45910325126341e-05
"44","lightsteelblue",0.00430064741038117,0.0527006691887302,60,0.688101240715567,0.0765885396950105,0.00625002129905893,89,149.500589827252,3.12635860347552,"MElightsteelblue",0.00204236204970145,2.40690417458838e-05
"45","lightsteelblue1",0.00969888770451856,0.0527568500323602,64,0.502692857044375,0.104948477570476,0.0192938641729345,162,184.27565451496,3.70098705793447,"MElightsteelblue1",0.00256334055857962,4.56627388250124e-05
"46","lightyellow",0.00563511270226563,0.0562073169055259,67,0.678026511694829,0.0828984057939377,0.00831105068174964,292,202.106832319343,2.94828901172099,"MElightyellow",0.00217525509532934,2.26140687787292e-05
"47","magenta",0.011133166770456,0.0730971017362005,61,0.762676409266685,0.0958428775927179,0.0145974972284255,389,372.190684436243,3.91655503969006,"MEmagenta",0.00371372003067382,3.53782662397713e-05
"48","magenta4",0.00417616398808639,0.0643434657003112,49,0.755986109994708,0.0851119681296283,0.00552412793419661,61,221.772027518042,7.11407733020601,"MEmagenta4",0.0018696932204923,3.95327074099952e-05
"49","maroon",0.00852121303021084,0.0473412107127143,67,0.676171031510647,0.0700136629736243,0.0126021563082545,117,182.729013271779,3.29731751155555,"MEmaroon",0.00207687622056171,2.04950241221753e-05
"50","mediumorchid",0.00328648627348759,0.0599401254930237,56,0.713715468282587,0.0839832232265577,0.00460475696483903,100,190.79925382766,3.81753675529039,"MEmediumorchid",0.0022839332329384,3.75877544720906e-05
"51","mediumpurple2",0.00208569628554015,0.0647432201577712,48,0.825854285576258,0.0783954521863323,0.00252550155877052,93,265.689302606542,5.52940081383462,"MEmediumpurple2",0.0026877847109611,5.29929010426815e-05
"52","mediumpurple3",0.016185134182087,0.0415183235846005,74,0.527453464292218,0.0787146665920818,0.0306854258769644,163,130.24444780989,1.60233307707019,"MEmediumpurple3",0.00204980989851509,2.39564280198627e-05
"53","midnightblue",0.0118175028045943,0.0462884737636621,69,0.603412131685845,0.0767112083649013,0.0195844633941613,312,191.220497624683,3.39550884252708,"MEmidnightblue",0.00210825966868749,2.36709765471016e-05
"54","navajowhite1",0.031708139504437,0.0608689155450508,62,0.513486205294575,0.118540507841163,0.0617507134125381,64,184.156792791298,6.52971724914995,"MEnavajowhite1",0.00234104206675972,5.02467369996901e-05
"55","navajowhite2",0.011189970771774,0.0499564797465278,66,0.697159470028242,0.0716571772947502,0.0160508050924428,119,209.742302362058,5.10424995855732,"MEnavajowhite2",0.00272820445129446,4.76829783704235e-05
"56","orange",0.00993902344830445,0.0217007895833405,84,0.537848455488026,0.040347405225232,0.0184792265309865,235,144.694313842273,1.68532276403177,"MEorange",0.00220399232940603,2.28409660477132e-05
"57","orangered3",0.00853008319016088,0.0680814476881551,52,0.655106671313771,0.103924216725839,0.0130209072257719,94,228.5178085509,7.07046723179998,"MEorangered3",0.00198831322460669,4.18476253341237e-05
"58","orangered4",0.0117487468996268,0.0608788768684028,65,0.594026186945397,0.1024851735602,0.0197781632490668,163,198.990702577314,4.36281918654113,"MEorangered4",0.00195887091086469,3.53357304098927e-05
"59","paleturquoise",0.00611345895675454,0.0482704950570455,65,0.567578882979362,0.0850463195594271,0.0107711177073105,187,186.860183624,3.41160141616728,"MEpaleturquoise",0.00226055253189817,3.25929212442952e-05
"60","palevioletred3",0.00670380332687809,0.0793740794278142,60,0.771512000400177,0.102881198719713,0.00868917570096237,244,404.059150669201,3.83359447627211,"MEpalevioletred3",0.00396108409987778,3.77612095855911e-05
"61","pink",0.00782789638166577,0.0433255680530871,62,0.606067509987394,0.0714863729520632,0.0129158818987485,407,180.571704567081,2.12844135651046,"MEpink",0.00203060257618265,1.42496540632751e-05
"62","plum",0.00301931499316507,0.0560122892359446,58,0.681233534332633,0.082221861392682,0.0044321291319326,94,159.666478502065,3.25917836745513,"MEplum",0.00214084942111141,2.30637188203952e-05
"63","plum1",0.0140335029550711,0.0517240520348483,74,0.574297027842755,0.0900649829742991,0.0244359665377086,166,155.768590214881,2.14652928404053,"MEplum1",0.00204128875695328,1.52602911968346e-05
"64","plum2",0.00800933284692359,0.0706608427521097,64,0.715039646579391,0.0988208739055762,0.011201243015319,133,220.499514646344,4.56822607870682,"MEplum2",0.00202314893418684,2.93010550294945e-05
"65","plum3",0.00557618563987716,0.0423587635026548,57,0.66087691729281,0.0640947843604095,0.00843755545695138,69,154.986259175153,4.48518665669007,"MEplum3",0.00188967365033673,3.30837781596665e-05
"66","purple",0.0117090265640781,0.0601995154042036,67,0.505291810700371,0.119138118072333,0.0231728009758333,378,201.852077325815,2.6327348705917,"MEpurple",0.002689578904105,3.21597032245806e-05
"67","red",0.00763331291587153,0.0506003001851348,68,0.679718305250263,0.0744430447058572,0.0112301123228704,448,249.086319961265,3.77558511878006,"MEred",0.00215522217106478,2.27142729187921e-05
"68","royalblue",0.0087558518826833,0.0438751998434388,69,0.482763909325808,0.0908833469028612,0.0181369230664137,265,143.140364521045,1.67179597402862,"MEroyalblue",0.00205372168521569,1.80152928326605e-05
"69","saddlebrown",0.0110664579168027,0.0328192275917256,74,0.453662167023435,0.072342879740356,0.0243936098736465,200,126.708333375896,1.65815862240547,"MEsaddlebrown",0.00195052782599487,2.30825035175036e-05
"70","salmon",0.00686154673444853,0.0812144098329263,69,0.784710398260001,0.103496028615154,0.00874404971523656,409,390.528164864701,4.27104424708561,"MEsalmon",0.00271487793140073,2.28994969665293e-05
"71","salmon2",0.00430095431047509,0.053683600632992,54,0.707811671106226,0.0758444694039743,0.00607641055671377,65,170.372544601013,3.34184385946655,"MEsalmon2",0.00199169392479313,3.14675888724882e-05
"72","sienna3",0.0115676564823225,0.0429284909547715,69,0.448552453100424,0.0957045060350177,0.0257888601486094,179,162.333774837711,3.01388923308024,"MEsienna3",0.00198194606016121,2.34163911985684e-05
"73","skyblue",0.00231746774243515,0.0553051090075406,53,0.582486392652017,0.0949466111229493,0.00397857833533912,205,206.32086777392,3.89598341473352,"MEskyblue",0.00252507666201351,4.44705473209623e-05
"74","skyblue1",0.00730456960731219,0.050798801186307,57,0.792626802417598,0.0640891792093897,0.00921564800109264,97,131.863524889157,1.45689226089414,"MEskyblue1",0.00189279594372698,1.95002410269407e-05
"75","skyblue2",0.00461368840780547,0.0756161926900719,57,0.796575160675346,0.0949266264164747,0.00579190594380815,99,305.91277571564,7.14401043539674,"MEskyblue2",0.00240988274484344,4.01069425999205e-05
"76","skyblue3",0.00313838599134232,0.0524848793933018,54,0.55064339953824,0.095315551657052,0.00569948898683634,168,193.024173536943,4.23808503788675,"MEskyblue3",0.00229933099192504,4.27100684787848e-05
"77","skyblue4",0.0031742525990506,0.0784406576388545,47,0.896306605759876,0.0875154295804321,0.00354148075965536,31,333.345080897273,12.0985125659593,"MEskyblue4",0.00237059722908715,5.39758532994795e-05
"78","steelblue",0.00106002918190613,0.0583182395077955,50,0.607868489015273,0.0959389087634222,0.00174384624480757,196,212.148683184815,3.97519470837864,"MEsteelblue",0.00235175796609946,3.5412826221043e-05
"79","tan",0.00757785394587311,0.0267809273174504,86,0.76611416456219,0.0349568361430243,0.00989128552427119,352,131.919361333898,0.881962222575291,"MEtan",0.00163489909825776,1.46350519540193e-05
"80","thistle1",0.000723460484782845,0.0955875013963297,47,0.842985649239625,0.113391611687043,0.000858212100568269,123,447.931125902818,7.54821794444793,"MEthistle1",0.00274084986678066,4.11274276533832e-05
"81","thistle2",0.0209856425940888,0.0459349450694847,70,0.497137034315398,0.0923989602439118,0.0422129938941038,124,151.90319496179,3.7311559827359,"MEthistle2",0.00209441159356437,3.46450711836951e-05
"82","thistle3",0.0170242918106718,0.0397830829041812,67,0.595512328030196,0.066804801566029,0.0285876395993075,69,155.737894993927,2.93205388716402,"MEthistle3",0.00241999019701913,4.97008807124541e-05
"83","turquoise",0.0114009260528744,0.0571122104659847,82,0.651065654824176,0.0877211231199228,0.0175111772037081,1145,285.44615966047,3.33052357448633,"MEturquoise",0.0019270340765103,1.07872725501129e-05
"84","violet",0.00565366242215705,0.0518115070402226,62,0.648148601254862,0.0799376978364403,0.00872278735341117,181,171.199953117424,2.75325893816537,"MEviolet",0.00207444403269377,2.10269363397187e-05
"85","white",0.00854458772428617,0.0675993857195421,60,0.60459015746422,0.111810264995164,0.0141328594566011,208,229.308629273156,4.5746419265697,"MEwhite",0.00200367849387325,3.12954776355898e-05
"86","yellow",0.00977517432033055,0.0419706704174183,71,0.522750961466366,0.0802880788582132,0.0186994860667693,475,186.052956262049,2.87189717276005,"MEyellow",0.0020703257004558,2.00302626375146e-05
"87","yellow4",0.00718713520997841,0.0740482569640029,58,0.76620344904734,0.0966430744420048,0.00938019166960752,97,263.121858691888,5.99183350662418,"MEyellow4",0.00217731142178993,3.87242702849298e-05
"88","yellowgreen",0.00459813283786836,0.0390056254118792,63,0.55437234409004,0.0703599770582062,0.00829430415656078,172,152.564355674827,2.80430317084024,"MEyellowgreen",0.00195518712656224,2.18492534504268e-05
