"Module","emmean.HA_Control","SE.HA_Control","emmean.HA_LowNut","SE.HA_LowNut","emmean.HA_Salt","SE.HA_Salt","emmean.HA_Combo","SE.HA_Combo","emmean.RHA_Control","SE.RHA_Control","emmean.RHA_LowNut","SE.RHA_LowNut","emmean.RHA_Salt","SE.RHA_Salt","emmean.RHA_Combo","SE.RHA_Combo"
"MEplum2",0.11862047178297,0.0268044628805182,-0.142265275930908,0.0276279036738776,0.100276531472472,0.0302751951352422,-0.0301107587233868,0.0305755772156883,0.0672983558679436,0.0292192491313313,-0.113875519791885,0.0260427980937012,0.0716365421647008,0.0295716932793613,0.00615088864161669,0.026971692499869
"MEyellow4",0.134686372908758,0.0282688197939732,-0.0988970738659863,0.0291372460520275,0.0676852556569417,0.0319291619205536,-0.0504666314765003,0.0322459542002319,0.0606521099036258,0.0308155284398239,-0.097494638546038,0.0274655444327798,0.0857899262504043,0.031187226994371,-0.0223661087024274,0.0284451853490195
"MEplum1",0.0273512340532621,0.0238472928384909,-0.176087455472202,0.0245798885193644,0.127593282728251,0.0269351207427969,0.0569512743594427,0.0272023635324684,0.00238866462158024,0.0259956707083327,-0.134163218060341,0.0231696578007378,0.123882242535785,0.0263092318807669,0.0423085410115834,0.02399607305176
"MEskyblue1",0.0319434446616626,0.0359259811007799,-0.0702211198439758,0.03702963755201,0.0827868907172578,0.0405777982979716,-0.0262015028608337,0.0409803999465562,-0.000871551234208334,0.0391625154643238,-0.0633095737663952,0.0349051229377833,0.0567671040104515,0.0396348958234322,0.0250542588667708,0.036150118706934
"MEdarkolivegreen4",0.0110773067546858,0.0266128302017896,0.0246521207233625,0.0274303839842543,0.0101800155613915,0.0300587492109699,0.0250294183961811,0.0303569837750501,-0.0251904244953711,0.0290103524633983,-0.0149672774046249,0.0258566107717418,0.0773856171857422,0.029360276888631,-0.0300057803066966,0.026778864249341
"MEplum",0.00612378414663901,0.00307638861083037,0.0175539231721428,0.00317089615196917,0.018467348902988,0.00347472978361451,0.023529141039955,0.00350920508779431,-0.0142014720914602,0.00335353726897381,-0.00365607883015748,0.00298897119508587,-0.00752670209672865,0.00339398781513049,-0.00482372335016968,0.00309558180633134
"MEbrown2",-0.00153597129926379,0.00510589835021459,0.0228994821242029,0.00526275301307631,-0.00197330666844494,0.00576702728879563,0.0126485010581625,0.00582424613238226,-0.0125850759866029,0.00556588343512778,0.00358433610392894,0.00496081120574314,-0.0132425602804143,0.00563301941923576,0.00264154767780115,0.0051377533976877
"MElavenderblush3",0.00569740443016284,0.00369568359990916,0.00561508936892484,0.00380921606086836,0.00615625335978962,0.00417421317651866,0.0156569047704716,0.00421562856071643,-0.00951788788601922,0.00402862390108948,-0.00164199466611115,0.00359066854798236,-0.0142533386344953,0.00407721737836095,-0.00330089471856347,0.00371874049772535
"MElightsteelblue",0.0143822777634641,0.00515309882415749,0.0233897214523861,0.00531140349912667,0.00769571983596891,0.00582033943929338,0.0158651284204628,0.00587808723123552,-0.0163204985712993,0.0056173361507969,0.00278460858701165,0.00500667045008993,-0.00907437346938315,0.00568509276031713,0.00562329212719569,0.00518524834935716
"MElightgreen",-0.0206240550365004,0.00357556328467356,0.00122109255633184,0.00368540561507065,-0.0165700785495354,0.00403853927774758,-7.8052631449158e-05,0.0040786085431906,-0.0157106054884202,0.0038976820712812,0.00232424836263852,0.00347396152308964,-0.0127404162559317,0.00394469612118817,0.00861915215832941,0.00359787076718967
"MEmidnightblue",-0.0148534764815214,0.00433120306773537,-0.00457979049548476,0.00446425886915898,-0.0113231841781032,0.00489202184839725,-0.0020010248974304,0.00494055913094309,-0.012943585681287,0.00472139665840973,0.00352111982788395,0.0042081293513937,-0.0224180807695126,0.0047783463977855,-0.00121376848387272,0.00435822489031683
"MEorange",-0.0177751053241121,0.026799896822809,0.00673987519059905,0.027623197345565,-0.0124474997117995,0.0302700378489813,-0.00169591820769828,0.030570368760265,-0.0215902980211146,0.0292142717222204,-0.0131217220149022,0.0260383617832429,0.0682524744979598,0.0295666558324752,-0.0287262210601526,0.0269670979551091
"MEnavajowhite1",0.0384209568280938,0.0217101530290091,-0.0290031257668609,0.0223770951615133,0.0604704701472866,0.0245212568630479,0.0016124163473501,0.0247645499654961,0.0692330163629882,0.0236659981907342,-0.126975911229913,0.0210932460925667,0.0964030309823387,0.0239514587284818,-0.0224765380024102,0.0218455999000497
"MEthistle2",0.00543370461578515,0.0205047208289707,-0.0338496263734766,0.0211346317382951,0.0609420493323552,0.0231597412362979,-0.00748521526050925,0.0233895257587122,0.0537576432355905,0.022351969854451,-0.139508663531021,0.0199220669668673,0.117204863142284,0.0226215805120259,-0.0137338887326089,0.0206326471625222
"MEpink",0.000620632792756154,0.00470933341452783,0.012136589455065,0.00485400548873945,0.0036352705495955,0.00531911378777795,0.0115714417452995,0.00537188855796738,-0.00802542233255889,0.00513359237582797,0.00193677216582848,0.00457551489903602,0.00737755288673586,0.00519551404202479,0.0126543377579592,0.00473871434403267
