"Module","Nut_F","Salt_F","Group_F","NutxSalt_F","GroupxAccession_F","Nut_p","Salt_p","Group_p","NutxSalt_p","GroupxAccession_p","emmean.Control","SE.Control","emmean.LowNut","SE.LowNut","emmean.Salt","SE.Salt","emmean.Combo","SE.Combo","Difference.DE_Nut","Difference_p.DE_Nut","Difference.DE_Salt","Difference_p.DE_Salt","Difference.DE_Combo","Difference_p.DE_Combo","Difference.Nut-Salt","Difference_p.Nut-Salt","Difference.Nut-Combo","Difference_p.Nut-Combo","Difference.Salt-Combo","Difference_p.Salt-Combo"
"MEcoral1",20.6391666201995,0.757429983397935,0.30946536309339,0.861115347003695,765.177054443027,1.77559945641786e-05,0.386529008160817,0.579436480920371,0.355994129395635,6.96294444332126e-67,-0.0190263769153647,0.00490807785090711,0.00780912819935402,0.00459873835420381,-0.0184983879633715,0.0051909216011352,-0.000719312024225176,0.00502826645540362,-0.0268355051147188,0.000703613409036019,-0.000527988951993241,0.999847592452054,-0.0183070648911396,0.0585252725495277,0.0263075161627255,0.00148516924075537,0.0085284402235792,0.600515371564959,-0.0177790759391463,0.0802621250680655
"MEcoral2",12.701255779507,3.47608331058464,1.84284711985172,0.372165504919336,1267.85145368586,0.000596029005866238,0.065634026910607,0.178128566074984,0.543416446948825,3.27946701565927e-76,-0.0177858102917309,0.00386333126741254,-0.00178528498995342,0.00361983860365241,-0.0081849129100245,0.00408596814018473,0.00298818742887774,0.00395793620397691,-0.0160005253017775,0.0159946051039712,-0.00960089738170638,0.313421985571789,-0.0207739977206086,0.00221457061246499,0.00639962792007108,0.643891481207192,-0.00477347241883115,0.812697269476595,-0.0111731003389022,0.22141898837945
"MEcoral3",1.68844506347459,1.08288640017505,3.8619762988721,0.156164135769996,908.818115167731,0.197238865691671,0.300936036657571,0.0525824944716292,0.693680202627083,4.75614278461619e-70,0.00631168883650485,0.00450454535011147,0.0141212243771553,0.00422063913798341,0.00369419607917498,0.00476413424389044,0.00812169751466961,0.00461485228410215,-0.00780953554065043,0.581502433637793,0.00261749275732988,0.977401001290306,-0.00181000867816476,0.992659114497759,0.0104270282979803,0.36049852932204,0.00599952686248568,0.775806958448915,-0.00442750143549463,0.912667350865105
"MEcyan",193.5850000688,2.76525917610307,0.25780483300826,65.4418043108111,86.3036145380653,7.72051178521253e-24,0.0999297994879553,0.612917140565318,3.25349729608342e-12,1.85939069616187e-29,0.105126696030657,0.00991357010124696,-0.106922106993975,0.00928875140871425,0.0407401416061278,0.0104848714193521,-0.00988263192166352,0.0101563327859967,0.212048803024632,3.09004155596426e-10,0.064386554424529,0.000109716176518559,0.11500932795232,3.46758066704922e-10,-0.147662248600103,3.09031911172042e-10,-0.0970394750723118,3.20096282813154e-09,0.0506227735277913,0.00526879986093209
"MEdarkgreen",3.05392890785525,4.53566554464551,4.30135858909602,0.000679323671642668,2702.02892570488,0.0840704494347024,0.0360199499205224,0.0410380069798504,0.979266111603204,2.48004099200555e-90,0.00251998561737326,0.00268009774005536,0.00719663632532146,0.00251118027150478,-0.00310025018427453,0.00283454698043059,0.0016487198832861,0.00274572775185967,-0.0046766507079482,0.576276624861185,0.00562023580164779,0.464920626607932,0.000871265734087162,0.996073146245175,0.010296886509596,0.0381010482633356,0.00554791644203536,0.452393518264074,-0.00474897006756063,0.637808072896495
"MEdarkgrey",38.1030165737661,34.2003071817288,0.486868139124429,6.38985433485666,0.938702128291765,2.07256263222577e-08,8.52505839657612e-08,0.487188349053639,0.0132834414432038,0.445527097739577,0.0289667457038925,0.0200048804859492,-0.139435582202541,0.0187440407337865,0.0987103552054721,0.0211577259768709,0.0344668401333633,0.0204947583448103,0.168402327906434,1.15633630670686e-07,-0.0697436095015796,0.078911993727348,-0.0055000944294708,0.997611541785742,-0.238145937408014,3.12684100833849e-10,-0.173902422335905,9.82837631280375e-08,0.0642435150721088,0.146329288954395
"MEdarkmagenta",15.7400031257549,0.327563212562417,0.17814926418813,1.7285650239484,2154.8001365614,0.000148923124951378,0.568573534470281,0.674009788571138,0.192049510323894,4.27205965460244e-86,-0.0012236831569888,0.00299071770216623,0.0144781045754511,0.00280222291115578,0.00125011227846581,0.0031630674155266,0.00919280744872008,0.00306395414991327,-0.0157017877324399,0.00122593244845093,-0.00247379543545461,0.938843864334293,-0.0104164906057089,0.0872883943198406,0.0132279922969853,0.0121968559667517,0.00528529712673104,0.587128747769683,-0.00794269517025426,0.291663064950587
"MEdarkolivegreen",3.82785839099993,0.245341907684938,3.92751146566306,0.0385044271311817,887.57964998487,0.0536148493126899,0.621623023468998,0.0506590908491453,0.844891337423803,1.29772936556662e-69,-0.00843208246539868,0.004546708954291,-0.000178037335061752,0.00426014531322797,-0.00709814290370961,0.0048087276611845,0.00291707894843276,0.00465804838713374,-0.00825404513033693,0.543633121883745,-0.00133393956168907,0.99695141627347,-0.0113491614138314,0.324648404418383,0.00692010556864785,0.702614416686296,-0.00309511628349452,0.961681981768411,-0.0100152218521424,0.457929771764275
"MEdarkolivegreen4",0.687715982356863,0.996758025257324,0.00539543600122527,2.26910107530673,26.5741843554523,0.40921191111757,0.320865015611748,0.941613758876646,0.135598859066007,2.06486323289084e-14,-0.00705655887034266,0.019887491746609,0.00484242165936879,0.0186340506084555,0.0437828163735668,0.0210335723343897,-0.00248818095525777,0.0203744949997296,-0.0118989805297114,0.971381516087559,-0.0508393752439095,0.288966027174021,-0.00456837791508489,0.998601182334584,-0.038940394714198,0.509363679078019,0.00733060261462656,0.993513078884357,0.0462709973288246,0.408970072491285
"MEdarkorange",63.5368488174666,0.071002441542517,0.000119942991204614,20.3309422539872,25.487505721225,5.66784437222109e-12,0.790513305339495,0.99128693863977,2.02258646117461e-05,5.45311997890851e-14,-0.0980864372203823,0.0151727429888229,0.0862572585117592,0.0142164564704859,-0.0344417812901843,0.0160471210363131,0.0124897152290337,0.0155442918642903,-0.184343695732142,3.09415160160142e-10,-0.063644655930198,0.0224526385469159,-0.110576152449416,1.78089512499202e-05,0.120699039801944,1.21028150901203e-06,0.0737675432827255,0.00427178569234132,-0.046931496519218,0.171526739590487
