"","moduleColors","Gene"
"52","greenyellow","gene.Ha412HOChr00c01091g0865691"
"53","greenyellow","gene.Ha412HOChr00c01149g0865751"
"54","midnightblue","gene.Ha412HOChr00c01226g0865821"
"55","midnightblue","gene.Ha412HOChr00c01226g0865841"
"56","lightpink3","gene.Ha412HOChr00c01235g0865871"
"57","lightpink3","gene.Ha412HOChr00c01237g0865901"
"58","greenyellow","gene.Ha412HOChr00c01265g0865961"
"59","greenyellow","gene.Ha412HOChr00c01322g0866021"
"60","turquoise","gene.Ha412HOChr00c01457g0866121"
"61","blue","gene.Ha412HOChr00c01470g0866141"
"62","blue","gene.Ha412HOChr00c01691g0866401"
"63","darkseagreen3","gene.Ha412HOChr00c01712g0866411"
"64","skyblue","gene.Ha412HOChr00c01781g0866451"
"65","greenyellow","gene.Ha412HOChr00c02156g0866731"
"66","yellow","gene.Ha412HOChr00c02201g0866811"
"67","greenyellow","gene.Ha412HOChr00c02277g0866831"
"68","honeydew1","gene.Ha412HOChr00c02294g0866861"
"69","salmon","gene.Ha412HOChr00c02321g0866891"
"70","yellow","gene.Ha412HOChr00c02642g0867101"
"71","darkmagenta","gene.Ha412HOChr00c02727g0867171"
"72","midnightblue","gene.Ha412HOChr00c02960g0867311"
"73","yellow","gene.Ha412HOChr00c03104g0867411"
"74","salmon","gene.Ha412HOChr00c03128g0867491"
"75","blue","gene.Ha412HOChr00c03295g0867641"
"76","mediumpurple3","gene.Ha412HOChr00c03782g0867851"
"77","darkmagenta","gene.Ha412HOChr00c04482g0868251"
"78","midnightblue","gene.Ha412HOChr00c04575g0868301"
"79","blue","gene.Ha412HOChr00c04858g0868391"
"80","greenyellow","gene.Ha412HOChr00c04944g0868461"
"81","cyan","gene.Ha412HOChr00c04986g0868491"
"82","lightcyan","gene.Ha412HOChr00c05143g0868561"
"83","midnightblue","gene.Ha412HOChr00c05213g0868621"
"84","darkseagreen3","gene.Ha412HOChr00c05556g0868731"
"85","blue","gene.Ha412HOChr00c06407g0869051"
"86","yellow","gene.Ha412HOChr00c06542g0869141"
"87","darkturquoise","gene.Ha412HOChr00c06600g0869151"
"88","blue","gene.Ha412HOChr00c07261g0869441"
"89","blue","gene.Ha412HOChr00c08128g0869771"
"90","blue","gene.Ha412HOChr00c08676g0869971"
"91","blue","gene.Ha412HOChr00c09623g0870241"
"92","salmon2","gene.Ha412HOChr00c10908g0870561"
"93","blue","gene.Ha412HOChr00c11534g0870711"
"94","tan","gene.Ha412HOChr00c12214g0870911"
"95","yellow","gene.Ha412HOChr00c13498g0871271"
"96","darkviolet","gene.Ha412HOChr00c13590g0871291"
"97","midnightblue","gene.Ha412HOChr00c14167g0871451"
