"","AEorange","AEpaleturquoise","AEantiquewhite4","AEpink4","AEmediumpurple3","AEorangered3","AElightpink3","AElightgreen","AEskyblue","AElavenderblush3","AEpalevioletred3","AEivory","AEsalmon4","AEdarkseagreen4","AEsaddlebrown","AEmediumpurple2","AEblue2","AEgreenyellow","AEplum2","AEcoral2","AEskyblue4","AEcoral1","AEsalmon","AElightcyan","AEpalevioletred2","AEskyblue1","AEantiquewhite2","AEdarkturquoise","AEmagenta","AEmediumorchid","AEblack","AEturquoise","AEdarkgreen","AEbisque4","AElightsteelblue","AEmaroon","AElightcoral","AEnavajowhite1","AEplum3","AEskyblue2","AEdarkolivegreen4","AEyellowgreen","AEdarkorange2","AEmagenta4","AEthistle","AEdarkorange","AEgrey60","AEskyblue3","AEorangered1","AEthistle3","AEcoral3","AEfirebrick4","AEhoneydew1","AEdarkseagreen3","AEindianred4","AEdarkgrey","AEviolet","AEdarkolivegreen","AEsienna4","AEsalmon2","AEdarkviolet","AEdarkmagenta","AEtan","AEyellow","AElavenderblush2","AEmidnightblue","AEdarkslateblue","AEorangered4","AEblue","AEcyan","AEhoneydew"
"33",-0.856056873344706,-0.428242237078872,0.61301919442487,0.738970533244232,-0.390316816339786,-0.519538294785683,0.52635224177362,-0.63393537282288,-1.0121312951282,0.524679033382582,0.301474967681975,0.0486209499821383,0.374682069851875,0.600424358613046,0.445377539982065,0.951231060926347,0.420712474303637,0.37203843626339,0.747991323421674,-0.938831725202757,-0.428738822176704,-0.962627888460771,-0.504705555595624,-0.365053591818351,-0.651828481026154,0.0062619025548042,-0.0433465995539538,-0.517328991958771,-0.338885955680297,-0.357567719669559,-0.645070557595685,-0.509414325196698,-0.597420563773624,-0.979928089746268,-0.494378926955584,-0.627678050372229,0.442192593739099,0.460848024406202,-0.171004814092603,-0.45271844204772,-0.616933277461282,0.143710702397914,-0.365095475455953,-0.186743503439133,-1.32607920809121,0.458463606307552,-0.444176379041816,-0.0352951817940293,0.123444292006301,-0.191578087373318,1.15293543312247,0.527780041050104,-0.966480527936968,-0.00999592868585424,0.303110937938277,0.34437410806451,-0.160403138295765,0.3432138369713,0.465753461786734,0.43709379546725,-0.846811654877462,-0.691581905782332,0.415999828820388,0.883037543046073,0.779888646418295,0.399472017699309,-0.827798731255939,0.18707908632481,0.475853016321781,0.156892076099491,0.791382270208807
"35",-0.744097513074498,-0.452284462506605,-0.922079702336864,-0.983829414120925,-0.702541975632965,-0.381053442764938,-1.60032091453193,-0.706198768286552,-1.13682199212265,-0.270431427279083,-0.366775255550344,-0.807781791087253,-0.732137713055185,-0.669750553297659,0.538079731418179,0.833105476509183,0.142769355526019,0.627011773820471,-0.556713065739752,-0.035764778894904,-0.233781953656065,-0.733742610580401,-0.634273065838168,-0.225224356969445,-0.231941736859826,-0.130885067514056,0.286297027659335,-0.552808468195642,-0.24294649378776,0.647576561160112,0.226671311468445,0.290478607973378,0.816910978970626,0.979451448793628,0.945247208180048,1.05935182305849,2.08221650586802,1.37127620910666,1.05868881728569,1.16449410365228,0.384185435123607,0.667759080057079,0.523041873445457,-0.334683516413541,0.261035065391794,0.562437461493577,0.0933040440362669,-0.41936903620746,-0.508607056053237,-0.71797368902443,1.11275839253476,0.648490726636766,0.394283525931617,-0.327292321973536,0.513191535115183,0.0801647334302633,0.524270502130703,0.525332318088918,1.08942956703343,0.388205405915331,0.916532035971503,0.514149440616958,0.596546616873137,-0.439394625726565,0.992806526372727,1.02359616199721,0.0468560201497179,0.393269465189512,-0.0978111374038126,0.789129011724239,1.07535666157397
"39",0.150712155563832,0.503263222113599,0.0558853309029539,0.415357439902805,-0.49304280950315,-0.327650256843661,0.435749410162341,0.58426080216589,0.421910292349198,0.215069146352575,-0.230080738942743,0.746862496438042,0.797218014247397,-0.641471770794821,-1.19211715140712,-0.343829493434959,0.164571167351635,-0.650897860747774,-0.600230144349726,-0.775859259953103,-0.248690647484494,-0.226963849141123,0.289340191625632,-0.613925591206166,-1.07689991060302,0.480536286435733,-0.988233206204478,-0.117657353063337,-0.573819649236702,-1.24417101079861,-0.716392227038366,-0.792766827135929,0.00577940964586552,-0.836021137223807,-0.114525908315447,-1.16380110750374,-0.844984852668839,-0.781387387238703,-1.29269622919738,-0.6386818678837,-0.162712132719313,-0.237709319410014,0.510599580817579,1.1060599432255,0.336916195050039,0.329044298377952,0.0519686560938391,0.532174416639047,-0.938675160876807,-1.17374581308707,-0.442670348051888,0.349244721431807,0.300381601767721,0.397381396739582,0.366410296820018,-0.453975073768331,-1.06646909343579,-0.689290473471385,-0.170993003840562,0.398873052803611,-0.223425355029533,-0.324581488024993,-0.51495132624068,0.727393326334145,0.814592615935052,0.463234770617607,0.759749279828632,0.493609415452668,0.561590964208713,-0.231250465430902,-0.415845288984325
"40",0.55504738460661,0.752263570273407,0.401048304066941,0.354922776952793,0.72105804879414,1.0217050592348,0.276254359967053,0.620755192574347,0.432393391782563,0.648482096948094,0.0764860821884053,0.0342091762295582,0.953116711759626,0.732366949515275,0.456644748638586,-0.114827022350838,-0.13908357927175,-0.657114840680662,-0.375980209245017,-0.454528869311071,-0.172554758545802,0.525690438623148,1.01367547534202,-0.355890257472208,-0.979827076826368,-0.700826754701234,-0.0663471936410015,-0.583221318873401,-0.308311456055707,-0.50162767903895,-0.497823817803255,-0.458215698194347,-0.0178468874070761,-0.296390532974961,-0.478834420689355,-0.667291413015221,-0.945280698932342,-1.27396700803381,-0.32890438359047,-0.0194229402884384,-0.197798255752968,0.331005104961758,-1.22897235822683,-0.670169833760075,-0.0745704128120876,-1.00903115130398,-0.654490548614433,-0.552641823803454,-0.553134126677452,-0.678271069720392,-0.521402969534591,-0.611411667375347,0.270046702117316,0.425161595831737,-0.189462519003793,0.884363254736843,0.206860561476304,0.386357319738355,-0.192709327928295,-0.44936695988252,-0.58664289231168,-0.56631233485786,-0.902528898024507,0.249777240890687,0.281220233618446,-0.461383540457037,0.805689953067383,0.487317194206405,0.600809878715134,0.424443677612893,0.077381872014614
"42",-0.651850325012848,-0.430867068053261,-1.19103923801785,-0.387109020411753,0.337040537710294,0.935678666985879,0.267655030630707,0.751885302460058,0.583352749370483,0.146679927010406,0.223088994348914,0.421656137242474,0.565918086601903,-0.633885514720877,-0.893750647517833,-0.628996165275787,-0.689957633608537,-0.576808159690338,-0.364641840402684,-0.161608622797123,-0.390306408165223,-0.0370490432598605,0.0807694298100516,-0.464135656257366,-0.694549709167373,0.648955127933044,-0.241739728281548,-0.189561647383659,0.306853970971687,0.355871295135027,0.223651785872775,-0.328125933662888,-0.0373767829484254,-0.0435654197841324,-0.443251666359835,-0.64684804487452,-0.63816714063391,-0.407871864867715,-1.0843725231311,-0.50004473750175,0.408818316870209,0.663271687867258,0.624693194051447,1.10243031232649,0.271236403355152,-0.964387027300196,-0.0594779802736709,-0.323609799711874,-0.748746743430417,-0.708736744871608,-0.319433519634373,-0.380014835320348,0.612621338674179,0.464934425076117,0.464410191716889,1.00527273843488,0.537454313676129,0.601079641648986,0.680006291550621,1.02900458521404,0.795656754647863,0.686517736475664,0.558725606586831,0.0361196020328866,-0.175084992529626,-1.04128890237615,-0.0301919879827702,-0.407419047900413,0.214886367362104,0.0264793996679701,-0.0103749983310325
"43",-0.583310512888724,-0.40198537893559,-1.03684551258279,-0.584246895369605,0.406901640331371,1.02636401414842,0.425260242066291,0.757511185925027,0.599870812856484,-0.164554035779462,0.290058852251055,0.412914508865902,-0.217335189608565,-0.568918888283934,-0.824339013666364,-0.820073714858405,-0.81292113352109,-0.448022795816309,-0.376566702794564,-0.0741485756078988,-0.324623407451609,0.294473365944713,0.0543141421261323,-0.0835408865877218,0.181509619020476,0.93566243456048,-0.251483764236978,0.345978119179821,0.479639232920723,0.29338006522319,0.380610661085502,0.263637749008866,0.026541877525764,0.228598848221256,-0.0822828493912066,0.425621563730681,-0.144777843605396,0.160168408700417,0.022561792226506,0.0302775915501971,-0.0845692363951614,-0.335847757509801,0.564023203157628,0.955271473676801,0.124830469723619,-0.908916122145359,0.084264379336533,-0.39957454208135,-0.0308635900650555,0.402930611668425,-0.252495140820673,-0.32535679963946,0.738394818001485,0.584151829022484,0.475547512930827,-0.251369000390316,0.0592675268990332,0.477032275291653,0.700041013450637,0.652394107480394,0.948292434197761,0.623174039873315,0.551421494502052,-0.424880746808531,-0.815435027560456,-0.15302971109709,-0.143583596071293,-0.559723534767699,-0.222888205828837,-0.27916846360776,-0.188378951228861
"49",-0.696738009962089,-0.433649271031811,-0.801283732159738,-0.747720322964314,-0.595405725773021,-0.361279690526407,-1.46652666334991,-0.797524824224164,-1.06829418287539,-0.277568144738397,0.0208432259130889,-0.287729160880641,-0.67019262665141,-0.524503310839996,0.626227095802018,0.476066852830958,0.0819816072205125,0.597185789110247,-0.490461917177034,0.148140302867535,-0.512966304539912,-0.416857852819442,-0.655592541251121,0.402060444830939,0.76360494560203,0.870782317627747,0.0788402379626172,0.0769630811416567,0.227915285988336,0.43020356394689,0.300721985856851,0.440841873949337,0.370946571701511,0.669858576263129,0.44176295007532,0.859559315468212,1.72139656230268,0.957253883198269,0.73079429178973,0.553803959389931,-0.258223795329138,-0.309246320967023,0.54024945166979,-0.330610243237015,0.0593684430168381,0.5601360097433,0.323419200380117,-0.497697996940447,0.194991392008692,0.321719525520913,1.14903624895385,0.8121079730727,0.392286792972438,0.0753312799419375,0.51310584171112,-0.541223470177523,0.220113792593265,0.472620760771894,0.944197043782766,0.363576595015706,1.06892535942428,0.396448228368154,0.587640487355121,-0.284956138272954,0.615495025405931,1.08326174021696,-0.113235653751754,-0.0561562918908957,-0.367961260632457,-0.00566336372279774,0.19558465298899
"60",0.147215960381947,-0.591436891762609,0.292488168685684,-0.749497511638273,0.675316755551921,-0.604230831546783,0.0184885183059018,-0.759105665792316,0.400182929017915,0.251801535163181,-0.379847755816056,0.845720170422068,-0.0412380571035986,0.442459157816749,0.15630956436283,1.27377704896101,0.983854133256761,0.392183804540241,0.855133835690442,0.365617216843939,1.3274653913696,-1.01140583300283,-0.223502778548168,-0.44096096313675,-1.08770118197896,0.249165883420857,-1.38860493965977,-0.318993154047956,-0.919780620305626,-1.55024848126468,-0.567473878389188,-1.1023448936882,0.160581631254968,-0.791630541310161,-0.348582073305649,-1.35147030010384,-0.860641788324474,-0.887291335051249,-1.4982977343291,-1.23083587420167,-1.10540580232726,-0.911292732334426,0.133982092276462,-0.556839702376347,0.425757374208517,0.305696118227253,-0.198201987215059,0.666927853544332,-0.0344249689911139,-0.134659006636924,-0.742051792856635,-0.83047189679514,-1.0952308615538,-1.24357853511884,-1.36784983950143,-0.262743758207103,-1.09462083807127,-0.692541571785573,-0.836313419210473,0.799666328727836,-0.470487627196872,0.222341032986289,0.212096463751365,0.748835615266527,0.623884014378768,-0.42430521028635,1.2762319257797,0.721982921514866,0.709844737745369,-0.176940105820824,0.154843870484861
"67",0.392961957226245,0.490928944966841,0.21653626204669,0.0184955878078469,0.450823983998973,0.677558487775438,-0.136381697421515,0.361912902831285,0.11122572970615,0.0368707932645841,-0.379541779940115,-0.645510377127705,-0.589847100175551,0.353331281009075,-0.047372368137654,0.126779874952846,0.456888186044489,-0.259524946151011,-0.0167092555616648,-0.271678769716443,0.30384990757265,-0.572835372438016,-0.28294347154137,-0.32503093570224,-0.28255837938541,-1.45259357427717,0.777761768666981,-0.564982216754337,-0.754204380197292,-0.350088579050859,-0.55386478315302,0.342931485605304,1.00834468153887,0.619941834101683,0.868483714065946,0.515050530231304,1.31657169747211,0.801773509665383,0.171648738685167,0.692094356890201,0.191906866795005,0.183895328923259,-0.942218903268067,-0.241619741897884,-0.391891667661257,-0.724195056136532,-1.22307612485519,-0.589907736678204,-0.563792286625199,-0.264952995114215,-0.107532163544521,-0.599932520610667,0.0215371204138777,-0.345627743810932,-0.411593410500696,-0.306776333310246,-0.190394385471681,0.0685093916083306,-0.265405562351647,-0.717088677934288,-0.557838888937653,-0.315051728410656,-0.569240843962076,0.539978053347165,0.640753189096956,0.400654995096782,1.21232240621791,1.18564269900108,0.184284408571725,0.597811733117733,0.0261396860045886
"73",0.337894064123056,-0.633940409482774,0.319924663796022,-0.820029551968142,0.5858098322545,-0.580145212095199,-0.199324077678382,-0.731590619029075,0.461997984092747,-0.0784654026464843,-0.31286603252445,-0.0691371393234818,0.467537686913803,0.318465071467671,0.201780255442733,0.904466857512051,0.909568290285027,0.522078014273093,1.15889830260096,0.812630831875742,1.5106283898773,-1.12637432551446,-0.794932025849728,-0.508963031967542,-0.855429030699214,0.460130023273606,-0.615050700718885,-0.252682822416834,-0.692712215774136,-0.231843823150458,-0.155823739154245,-0.86538952358601,0.312490205898074,-0.089029271385809,0.233318547486889,0.109007099151566,0.401703519668159,0.707137372856424,0.0640568369608289,-0.14319190676038,0.803652734801731,0.549560291339877,0.0938962341893149,-0.542770969417952,0.52214846379049,0.389060280604396,0.0558926066914308,0.705138607208209,-0.913270245751595,-1.6666140589534,-0.6463092982431,-0.743855474263709,-0.939568655661218,-1.53802272359176,-1.47509822204767,-0.676471145554221,-0.631614254614549,-0.559749521123982,-0.793599849493352,0.314110086198913,-0.364812818093144,0.428687258132811,0.276214703734252,0.436434383550126,0.152090061534934,0.0950224498809203,0.568973618873335,0.628220974823282,0.144142666104056,0.310250215210368,0.435545396399277
