"Accession","Plant.","Bench","Row","Column","Osmocote","Salt","Treatment","Plant..1","Bench.","Tray","TPlant.","TRow","TColumn","Plate","Accession.","Transplant_Date","exp","Numlvs_0511_tot.not.including.cotyledons","Numlvs_0511_fullyexpanded.not.including.cotyledons","Notes_0511","Status_0515","status_0518...","exclude.from.analyses.","NumLvs_053118","Num_FullyExpaneded_Lvs_053118","Notes_053118","SLA.biomass","Aboveground.biomass","Belowground.biomass","RNA.leaf.biomass","X2.RNA.bags..weight.of.2nd","PlantDied","Notes","Root.Date","X","Include","Survival","Tot_AG","Tot_BG","Tot_Biomass","mold","ln_AG","ln_BG","ln_Tot","X.1","RNASeqExp","X.2","Plant..2","TissueBox.","Date_ground","Date_RNA_extracted","SeqPlate","SeqPlateRow","SeqPlateColumn","GGBC.RIN","My_RIN","X.3","ReproStageSampled","Reproductive","SampleDay","SampleNotes","X.4","MisIDed","Chlorophyll","Hybrid_set","Hybrid_role","Species","init.weight","RNA.leaf.biomass_full","Tot_biomass2","growdays","RGR"
"445/373",338,5,18,"C","High","NoSalt","Control",338,54,5,309,"B",9,4,17,"5/1/18",1,"4",2,"","","","",21,11,"",1.0827,8.642,2.9336,0.7256,"","","Mold","18-Jun","","y",1,10.8074,2.9336,13.741,"y",2.380231085,1.076230338,2.620384064,NA,"y",NA,338,"12","2/15/19","2/25/19","3","H",3,7.8,"8.3",NA,"","no",1,"","","",24.5,"HA445/RHA373","Hybrid","Cultivated",0.06076,1.4512,14.1095,32,0.170239747832198
"445/373",200,3,3,"D","High","Salt","HighSalt",200,57,7,460,"C",4,2,27,"5/1/18",1,"4",2,"","","","",14,8,"bud",0.5081,5.7507,1.2266,0.3634,"","","","","","y",1,6.7669,1.2266,7.9935,"n",1.91204308,0.204246114,2.078628711,NA,"y",NA,200,"6","","3/8/19","3","D",12,7.7,"7.9",NA,"","yes",2,"","","",27.5,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.7268,8.2122,32,0.153326389209928
"445/373",258,4,7,"C","High","Salt","HighSalt",258,43,3,201,"E",9,1,11,"4/30/18",1,"2",2,"","","","",NA,NA,"",0.2789,1.2405,0.2745,0.1897,"","","Mold","","","y",1,1.7983,0.2745,2.0728,"y",0.586841774,-1.292804018,0.72890035,NA,"y",NA,258,"2","17-Jul","10/23/18","1","G",1,7.8,"8.4",NA,"","no",2,"spots on leaf","","",25.2,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.3794,2.1733,33,0.108396071241942
"445/373",235,4,2,"B","Low","NoSalt","LowNut",235,20,3,173,"C",5,1,10,"4/30/18",1,"4",2,"","","","",15,8,"",0.3673,3.5649,1.0408,0.2353,"","","Mold","21-Jun","","y",1,4.2995,1.0408,5.3403,"y",1.458498737,0.039989648,1.675281831,NA,"y",NA,235,"1","13-Jul","10/30/18","1","F",9,7.7,"7.8",NA,"","no",2,"","","",10.8,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.4706,5.4436,33,0.136220127513897
"445/373",23,1,5,"B","High","NoSalt","Control",23,23,1,41,"D",5,3,5,"4/30/18",1,"4",2,"","","","",19,12,"",1.2623,6.7488,2.7703,0.5423,"","","Mold","","","y",1,9.2734,2.7703,12.0437,"y",2.227150087,1.018955618,2.488541702,NA,"y",NA,23,"9","11/2/18","11/19/18","2","A",11,7.9,"8.5",NA,"","no",1,"","","",21.5,"HA445/RHA373","Hybrid","Cultivated",0.06076,1.0846,11.866,33,0.159833356639122
"445/373",161,3,18,"A","Low","NoSalt","LowNut",161,18,8,536,"C",8,5,33,"5/1/18",1,"4",2,"","","","",13,8,"",0.2469,2.3565,0.8027,0.2195,"","","Mold","19-Jun","","y",1,2.8503,0.8027,3.653,"y",1.047424252,-0.219774234,1.295548748,NA,"y",NA,161,"1","13-Jul","11/20/18","2","D",10,7.8,"8",NA,"","no",2,"","","",12,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.439,3.8451,32,0.129613225364885
"445/373",17,1,17,"A","High","NoSalt","Control",17,17,1,29,"C",5,3,2,"4/30/18",1,"4",2,"","","","",18,10,"",1.0105,5.3116,2.0252,0.4986,"","","","","","y",1,7.3326,2.0252,9.3578,"n",1.99233016,0.705668461,2.23621022,NA,"y",NA,17,"11","1/24/19","1/25/19","3","A",2,8,"8.4",NA,"","no",2,"","","",25.7,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.9972,9.3445,33,0.152594288975236
"445/373",355,5,17,"D","Low","Salt","Combo",355,71,5,337,"E",1,4,18,"5/1/18",1,"4",2,"","","","",NA,NA,"",0.1871,0.8781,0.4426,0.1494,"","","","","","y",1,1.2523,0.4426,1.6949,"n",0.224981861,-0.815088851,0.527623742,NA,"y",NA,355,"12","1/24/19","1/25/19","3","H",10,8.1,"ok",NA,"","no",1,"","","",19.3,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.2988,1.8066,32,0.10600844459338
"445/373",297,5,13,"A","High","NoSalt","Control",297,13,2,95,"B",11,1,8,"4/30/18",1,"4",2,"","","","",18,11,"",0.7698,4.7031,1.516,0.4123,"","","Mold","","","y",1,6.2427,1.516,7.7587,"y",1.831412781,0.416075287,2.048814794,NA,"y",NA,297,"3","18-Jul","10/23/18","1","H",1,7.7,"8.3",NA,"","no",1,"","","",19.9,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.8246,7.8135,33,0.147172018428054
"445/373",149,3,6,"A","High","NoSalt","Control",149,6,8,513,"A",9,5,30,"5/1/18",1,"4",2,"","","","",20,12,"",1.0184,11.2731,1.9375,0.6866,"","","","21-Jun","","y",1,13.3099,1.9375,15.2474,"n",2.588508119,0.661398482,2.724408997,NA,"y",NA,149,"8","24-Jul","11/6/18","2","D",6,7.8,"8.6",NA,"","no",2,"","","",20.5,"HA445/RHA373","Hybrid","Cultivated",0.06076,1.3732,15.6022,32,0.173382360350247
