TPlant#,Tray,TRow,TColumn,Accession,Plate,Accession#,Transplant_Date,Transplant_Day,Treatment,AboveGround_Biomass,BelowGround_Biomass,Incubator,Tot_biomass,AG:BG,Notes
111,2,D,3,ARG-403,1,6,4/30/18,1,Harvest,0.0049,0.0046,R,0.0095,1.065217391,
112,2,D,4,ARG-PAD,5,5,4/30/18,1,Harvest,0.0055,0.0061,R,0.0116,0.901639344,
116,2,D,8,HA 445,5,7,4/30/18,1,Harvest,0.0324,0.0186,R,0.051,1.741935484,
118,2,D,10,412 HO/377,3,6,4/30/18,1,Harvest,0.0936,0.0748,R,0.1684,1.251336898,
120,2,D,12,HA 89,3,8,4/30/18,1,Harvest,0.0548,0.0306,R,0.0854,1.790849673,
122,2,E,2,HA 89,3,9,4/30/18,1,Harvest,0.0589,0.0415,R,0.1004,1.419277108,
125,2,E,5,SAM 227,1,8,4/30/18,1,Harvest,0.0671,0.0582,R,0.1253,1.152920962,
126,2,E,6,HYB 894,5,8,4/30/18,1,Harvest,0.0596,0.0225,R,0.0821,2.648888889,
127,2,E,7,RHA 274,2,7,4/30/18,1,Harvest,0.0253,0.0132,R,0.0385,1.916666667,
133,2,F,1,412 HO/377,3,7,4/30/18,1,Harvest,0.0858,0.0046,R,0.0904,18.65217391,
134,2,F,2,ANN-568,8,8,4/30/18,1,Harvest,0.0052,0.0036,R,0.0088,1.444444444,
135,2,F,3,HA 445,5,8,4/30/18,1,Harvest,0.0325,0.0148,R,0.0473,2.195945946,
140,2,F,8,RHA 373,1,16,4/30/18,1,Harvest,0.0125,0.0027,R,0.0152,4.62962963,
151,3,A,7,ANN-568,8,10,4/30/18,1,Harvest,0.0035,0.0025,R,0.006,1.4,
157,3,B,1,ARG-422,7,13,4/30/18,1,Harvest,0.0018,0.0011,R,0.0029,1.636363636,
162,3,B,6,SAM 227,1,11,4/30/18,1,Harvest,0.0776,0.0516,R,0.1292,1.503875969,
166,3,B,10,ARG-PAD,5,8,4/30/18,1,Harvest,0.0059,0.0062,R,0.0121,0.951612903,
169,3,C,1,ARG-422,7,15,4/30/18,1,Harvest,0.0036,0.0032,R,0.0068,1.125,
170,3,C,2,RHA 377,3,13,4/30/18,1,Harvest,0.0129,0.0037,R,0.0166,3.486486486,
192,3,D,12,ARG-PAD,3,11,4/30/18,1,Harvest,0.0087,0.0091,R,0.0178,0.956043956,
195,3,E,3,HA 445,2,11,4/30/18,1,Harvest,0.044,0.022,R,0.066,2,
197,3,E,5,HYB 894,1,10,4/30/18,1,Harvest,0.098,0.0634,R,0.1614,1.545741325,
